time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd
151.1,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50294673,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.013903
151.12,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5034612,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.018559
151.14,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50389695,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.021793
151.16,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5044502,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.024613
151.18,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5049581,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.022598
151.2,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50555277,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0254655
151.22,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51221794,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.457794
151.24,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5128033,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4667377
151.26,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51359576,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4728875
151.28,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5142665,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4813426
151.3,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5150743,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4844785
151.32,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51584387,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4925563
151.34,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5166101,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.4984055
151.36,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51718813,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5073853
151.38,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5178732,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5122676
151.4,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51863635,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5178902
151.42,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.51946604,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.524615
151.44,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5201157,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.535721
151.46,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5205933,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5477002
151.48,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5207454,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.549927
151.5,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5208257,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5558512
151.52,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52089745,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5550482
151.54,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52079165,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5587766
151.56,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5208478,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5574527
151.58,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.520842,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5626297
151.6,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52093023,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5611892
151.62,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5210031,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.563967
151.64,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52121294,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5625997
151.66,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52128196,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.564201
151.68,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52159256,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5639932
151.7,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5218557,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5626915
151.72,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52223086,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.560586
151.74,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5226291,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5567946
151.76,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52311873,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5588434
151.78,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52349067,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5571342
151.8,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5240225,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5589697
151.82,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5245456,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5561163
151.84,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5249049,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5594242
151.86,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.52530026,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.556905
151.88,44.72584063423455,-93.0758818886893,276.7789611816406,4.0637226,-16.398197,-3.1495345,223135.0,0.5256343,0.019749017,0.0048709284,0.035147958,-0.1684948,-0.275432,-0.14669546,-3.5598507
